"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","VIII","BILIRAN *","NAVAL","1658","4957","6615"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","ARTECHE","2246","980","3226"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","BALANGIGA","2714","0","2714"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","BALANGKAYAN","1100","825","1925"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","BORANGAN CITY","4376","9338","13714"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","CAN-AVID","2406","1804","4210"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","DOLORES","5073","2993","8066"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","GENERAL MCARTHUR","1529","1070","2599"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","GIPORLOS","2562","0","2562"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","GUIUAN","4894","5114","10008"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","HERNANI","1367","189","1556"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","JIPAPAD","1230","344","1574"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","LAWAAN","2471","0","2471"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","LLORENTE","2348","1716","4064"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","MASLOG","763","254","1017"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","MAYDOLONG","1314","1583","2897"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","MERCEDES","603","539","1142"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","ORAS","4356","3040","7396"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","QUINAPONDAN","975","582","1557"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","SALCEDO","2159","2090","4249"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","SAN JULIAN","267","1074","1341"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","SAN POLICARPIO","1801","1143","2944"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","SULAT","1496","1735","3231"
"SITREP NO. 40","TYPHOON","VIII","EASTERN SAMAR","TAFT","2010","1646","3656"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","ALMAGRO","150","1019","1169"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","MATUGUINAO","2","32","34"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","PINABACDAO","465","668","1133"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","SANTO NIO","56","87","143"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","STA. RITA","1155","3002","4157"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","TALALORA","248","1314","1562"
"SITREP NO. 40","TYPHOON","VIII","WESTERN SAMAR","CATBALOGAN CITY","119","921","1040"
"SITREP NO. 40","TYPHOON","X","MISAMIS ORIENTAL","GINOOG CITY","0","3","3"
"SITREP NO. 40","TYPHOON","X","CAMIGUIN","SAGAY","0","1","1"
"SITREP NO. 40","TYPHOON","X","CAMIGUIN","MAHINOG","2","9","11"
"SITREP NO. 40","TYPHOON","X","CAMIGUIN","MAMBAJAO","0","5","5"
"SITREP NO. 40","TYPHOON","XI","COMPOSTELLA VALLEY","MONKAYO","2","0","2"
"SITREP NO. 40","TYPHOON","XI","COMPOSTELLA VALLEY","NEW BATAAN","0","3","3"
"SITREP NO. 40","TYPHOON","XI","COMPOSTELLA VALLEY","MACO","2","0","2"
"SITREP NO. 40","TYPHOON","XI","COMPOSTELLA VALLEY","NABUNTURAN","0","3","3"
"SITREP NO. 40","TYPHOON","XI","DAVAO ORIENTAL","BOSTON","0","3","3"
"SITREP NO. 40","TYPHOON","XI","DAVAO ORIENTAL","CATEEL","5","3","8"
"SITREP NO. 40","TYPHOON","XI","DAVAO ORIENTAL","MANAY","3","3","6"
"SITREP NO. 40","TYPHOON","XI","DAVAO ORIENTAL","PASIL","5","3","8"
"SITREP NO. 40","TYPHOON","XI","DAVAO ORIENTAL","TARRAGONA","2","0","2"
"SITREP NO. 40","TYPHOON","XI","DAVAO DEL SUR","MALITA","1","2","3"
"SITREP NO. 40","TYPHOON","XIII","SURIGAO DEL NORTE","DEL CARMEN","1","10","11"
"SITREP NO. 40","TYPHOON","XIII","SURIGAO DEL NORTE","SAN FRANCISCO","2","40","42"
"SITREP NO. 40","TYPHOON","XIII","SURIGAO DEL SUR","LINGIG","16","23","39"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","CAGDIANAO","0","2","2"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","BASILISA","21","332","353"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","LIBJO","0","45","45"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","LORETO","3","0","3"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","DINAGAT","0","32","32"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","SAN JOSE","1","1","2"
"SITREP NO. 40","TYPHOON","XIII","DINAGAT ISLAND","TUBAJON","1","19","20"
