"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","V","MASBATE","BATUAN","24","278","302"
"SITREP NO. 40","TYPHOON","V","MASBATE","CATAINGAN","216","428","644"
"SITREP NO. 40","TYPHOON","V","MASBATE","CAWAYAN","357","1443","1800"
"SITREP NO. 40","TYPHOON","V","MASBATE","ESPERANZA","87","670","757"
"SITREP NO. 40","TYPHOON","V","MASBATE","MILAGROS","329","826","1155"
"SITREP NO. 40","TYPHOON","V","MASBATE","MONREAL","0","1","1"
"SITREP NO. 40","TYPHOON","V","MASBATE","PALANAS","25","198","223"
"SITREP NO. 40","TYPHOON","V","MASBATE","PLACER","181","1475","1656"
"SITREP NO. 40","TYPHOON","V","MASBATE","PIO V. CORPUZ","157","509","666"
"SITREP NO. 40","TYPHOON","V","MASBATE","SAN PASCUAL","5","16","21"
"SITREP NO. 40","TYPHOON","V","SORSOGON","BULUSAN","27","302","329"
"SITREP NO. 40","TYPHOON","V","SORSOGON","GUBAT","3","78","81"
"SITREP NO. 40","TYPHOON","V","SORSOGON","MATNONG","38","934","972"
"SITREP NO. 40","TYPHOON","V","SORSOGON","PILAR","27","302","329"
"SITREP NO. 40","TYPHOON","V","SORSOGON","SORSOGON CITY","6","175","181"
"SITREP NO. 40","TYPHOON","V","SORSOGON","STA. MAGDALENA","12","99","111"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","BARAS","28","16","44"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","BATO","26","66","92"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","GIGMOTO","29","1","30"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","PANDAN","1","5","6"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","VIGA","0","5","5"
"SITREP NO. 40","TYPHOON","V","CATANDUANES","VIRAC","84","80","164"
"SITREP NO. 40","TYPHOON","VI","AKLAN","ALTAVAS","3324","1846","5170"
"SITREP NO. 40","TYPHOON","VI","AKLAN","BALETE","5409","993","6402"
"SITREP NO. 40","TYPHOON","VI","AKLAN","BANGA ","4673","3608","8281"
"SITREP NO. 40","TYPHOON","VI","AKLAN","BATAN","4046","2899","6945"
"SITREP NO. 40","TYPHOON","VI","AKLAN","BURUANGA","282","1914","2196"
"SITREP NO. 40","TYPHOON","VI","AKLAN","IBAJAY","671","4284","4955"
"SITREP NO. 40","TYPHOON","VI","AKLAN","KALIBO","2628","7242","9870"
"SITREP NO. 40","TYPHOON","VI","AKLAN","LEZO","238","2122","2360"
"SITREP NO. 40","TYPHOON","VI","AKLAN","LIBACAO","3122","1450","4572"
"SITREP NO. 40","TYPHOON","VI","AKLAN","MADALAG","2138","1426","3564"
"SITREP NO. 40","TYPHOON","VI","AKLAN","MAKATO","1144","3152","4296"
"SITREP NO. 40","TYPHOON","VI","AKLAN","MALAY","158","441","599"
"SITREP NO. 40","TYPHOON","VI","AKLAN","MALINAO","849","3637","4486"
"SITREP NO. 40","TYPHOON","VI","AKLAN","NABAS","418","2821","3239"
"SITREP NO. 40","TYPHOON","VI","AKLAN","NEW WASHINGTON","3672","4086","7758"
"SITREP NO. 40","TYPHOON","VI","AKLAN","NUMANCIA","1043","5043","6086"
"SITREP NO. 40","TYPHOON","VI","AKLAN","TANGALAN","591","2174","2765"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","ANINI-Y","16","237","253"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","BARBAZA","2430","2026","4456"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","BELISON","35","411","446"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","BUGASONG","1002","3195","4197"
